Word	Tag	NE
OBEC	O	
Žinkovy	B-gu	gu
OKRES	O	
I	O	
lzeň	O	
-	O	
jih	O	
vir	O	
-	O	
Blovice	O	
)	O	
c	O	
i	O	
.	O	
6	O	
%	O	
466	O	
/	O	
60	O	
Ex	O	
,	O	
.	O	
Č	O	
.	O	
poř	O	
.	O	
ČÍSLO	O	
PARCELY	O	
NÁZEV	O	
TRATI	O	
PřUohy	O	
-	O	
M	O	
'	O	
Potenštejn	B-gu	gu
Kultura	O	
středověk	O	
ČÍSLO	O	
MAPY	O	
kooa	O	
s«	O	
7	B-n_	n_
•	O	
/	O	
Druh	O	
nálezu	O	
keramika	O	
a	O	
kosti	O	
Literatura	O	
A	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
Sedláček	I-P|B-ps	P|ps
,	O	
lístopisný	O	
slovnik	O	
historický	O	
,	O	
str	O	
.	O	
721	B-nb	nb
.	O	
•	O	
Uložení	O	
OS	O	
Blovi	O	
ca	O	
čís	O	
.	O	
inv	O	
.	O	
t	O	
Dno	O	
20	B-T|B-td	T|td
.	I-T|I-td	T|td
dubna	I-T|B-tm	T|tm
l	I-T|B-ty	T|ty
%	I-T|B-tm	T|tm
0	I-T|B-ty	T|ty
jsem	O	
na	O	
výsva	O	
správee	O	
6	B-nc	nc
kresního	O	
muzea	O	
v	O	
Blovi	B-gu	gu
-	O	
eích	O	
o	O	
ním	O	
prohlódla	O	
zříceninu	O	
hrd	O	
"	O	
ku	O	
Poten	O	
3	O	
te	O	
jna	O	
,	O	
k	O	
.	O	
o	O	
.	O	
Žinkovy	B-gu	gu
.	O	
Ze	O	
zřiceníny	O	
"	O	
je	O	
odkryto	O	
adivo	O	
v	O	
Síří	B-gh	gh
asi	O	
2	B-nc	nc
m	B-oe	oe
tvořící	O	
téměž	O	
tverec	O	
o	O	
straně	O	
40	B-nc	nc
-	O	
50	B-nc	nc
m	B-oe	oe
s	O	
vehodem	O	
ve	O	
výchoní	O	
stně	O	
.	O	
V	O	
zemině	O	
ol	O	
hozené	O	
při	O	
o	O	
krývání	O	
alive	O	
jsme	O	
nalez	O	
2	O	
í	O	
ein	O	
slomkry	O	
keramiky	O	
posdn	O	
hradištní	O	
ho	O	
a	O	
atředověkého	O	
charaktera	O	
a	O	
četné	O	
zvířeeí	O	
kost	O	
1	B-no	no
.	I-no	no
rádei	O	
je	O	
.	O	
4	B-n_	n_
umístn	O	
na	O	
ostrožnu	O	
.	O	
Která	O	
vybíhá	O	
smžrem	O	
k	O	
západu	O	
o	O	
epadá	O	
ostře	O	
dolů	O	
k	O	
dnešnímu	O	
zámkcu	O	
.	O	
Od	O	
východu	O	
je	O	
chránn	O	
mohutnýn	O	
příčným	O	
valen	O	
se	O	
širokým	O	
příkopem	O	
;	O	
popsaná	O	
stavba	O	
není	O	
na	O	
nejvyšším	O	
bode	O	
ostrožny	O	
.	O	
Tato	O	
se	O	
smren	O	
k	O	
západu	O	
zvedá	O	
,	O	
jsou	O	
na	O	
ní	O	
zbytky	O	
Siltová	O	
vže	O	
umí	O	
-	O	
stné	O	
vně	O	
ji	O	
ho	O	
západní	O	
ho	O	
rohu	O	
stavby	O	
;	O	
terén	O	
zle	O	
je	O	
velmi	O	
nerový	O	
a	O	
pravpodobně	O	
kryje	O	
zíeeniny	O	
njakých	O	
dalších	O	
stavb	O	
.	O	
Val	O	
,	O	
který	O	
obepíná	O	
celý	O	
vrebol	O	
kopoc	O	
,	O	
je	O	
zde	O	
trojnásobný	O	
,	O	
přičemš	O	
nejméně	O	
snatel	O	
ný	O	
je	O	
val	O	
vnější	O	
.	O	
fálezy	O	
ze	O	
sběru	O	
byly	O	
předány	O	
Ol	B-io	io
v	O	
Blovicích	B-gu	gu
.	O	
Hrúdek	O	
byl	O	
posteven	O	
v	O	
!	O	
•	O	
12521259	B-n_	n_
Ptou	B-P|B-pf	P|pf
z	I-P	P
Křimic	I-P|B-gu	P|gu
,	O	
trval	O	
v	O	
eúbělm	O	
13	B-no	no
.	I-no	no
a	O	
1	B-no	no
.	I-no	no
stol	O	
*	O	
,	O	
počátkem	O	
16	B-no	no
.	I-no	no
stole	O	
byl	O	
již	O	
zpustlý	O	
a	O	
vrch	O	
zarost	O	
-	O	
1	O	
$	O	
4	O	
.	O	
Sedláčelt	O	
,	O	
Místopisný	B-C|B-oa	C|oa
slovník	I-C|I-oa	C|oa
historický	I-C|I-oa	C|oa
,	I-C	C
str	I-C	C
.721	I-C	C
)	I-C	C
.	O	
Pokud	O	
nálezy	O	
hradištní	O	
keranikry	O	
souvisí	O	
se	O	
hrdkem	O	
,	O	
nebo	O	
pokud	O	
by	O	
patrily	O	
otarším	O	
ocí	O	
^	O	
Q	O	
-	O	
nl	O	
slovonskému	O	
,	O	
nebylo	O	
při	O	
zbžné	O	
pronlídce	O	
možno	O	
zjistit	O	
.	O	
$	O	
)	O	
/	O	
.	O	
(	O	
ren	O	
.	O	
-	O	
Ald	B-C|B-mn	C|mn
,	I-C	C
,	I-C	C
8.12	I-C|B-T|B-td	C|T|td
.	I-C|I-T|I-td	C|T|td
1960	I-C|I-T|B-ty	C|T|ty
.	O	
Ar	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
V	I-P|B-pm	P|pm
.	I-P|I-pm	P|pm
Stefgnovi	I-P|B-ps	P|ps
-	O	
Seldov	O	
/	O	
